001	1896	原子は静かではなかった
002	1905/09	ほんの少しの質量で
003	1911	原子の中はほとんど空っぽ
004	1919	原子核にも中身がある
005	1932	電荷を持たない弾丸
006	1933	Everything is made from a dream
007	1934	とりあえず中性子を当ててみよう
008	1938/12	バリウムがいる。なぜ？
009	1938/12–1939/02	原子核は割れる
010	1939	一個割れたら、次も割れる
011	1939	同じウランではない
012	1939/08/02	ナチスよりも早く
013	1941/02	もう一つの燃料
014	1942/08/13	地図にはない計画
015	1942/12/02	連鎖は止められる
016	1943	砂漠に現れた街
017	1943–1945	球対称なら解けます
018	1945	頭脳　つかいかた
019	1945/05–07	京都はやめてください
020	1945 ～08	そういえばこの街は空襲がない
021	1945/07/16	我は死神なり、世界の破壊者なり
022	1942–1943	同じ元素なんですけど
023	1943–1944	三つとも作ります
024	1943–1945	銅がないので銀を貸してください
025	1943–1945	穴をもっと小さく
026	1944/07–09	69日で建てました
027	1945	0.7パーセントを拾い集めて
028	1945/08/06	大変な「名誉」だ
029	1945/08/06	神よ、我々は何をしたのだ
030	1945/08/06	明日も遊びたかった
031	1945/08/06	お弁当食べたかった
032	1945/08/06	白と死の町
033	1945/08/06	白と黒
034	1945/08/06	水をください
035	1945/08–	昨日まで元気だったはずだ
036	1945/08/06–	似島はもう一杯です
037	1945/08/08	あらかじめ裏切られた条約
038	1945/08/09	路面電車は我らの誇り
039	1945/08/09	僅かな雲の切れ目から
040	1945/08/09	最後の業火か……？
041	1945/08/09	運命の3分間
042	1945/08/09	二重の業火を浴びて
043	1945/08/09	キリストは再び贄となった
044	1945/08/15	100万の兵を救った……？
045	1945/08/20	みなさん、これが最後です
046	1945/09/27	わたしはどうなってもいい
047	1945–	うつるわけなかろうが
048	1947/12/07	陛下、広島に御幸
049	1949	鯉は焼け跡から泳ぎ出す
050	1954/03/01	三度目の悲劇
051	1954/11/03	ゴジラ誕生
052	1955/10/25	生き延びてなお
053	1958/05/05	千羽鶴の祈り
054	1959	そして罪は償われた……？
055	1960年代～	夏なのになんで長袖？
056	1963/01/01	心やさしい科学の子
057	1964/08/01	この火が消えるその日まで
058	1975	赤ヘル軍団爆誕
059	1982/06/24	ノーモアヒロシマ
060	1984/05/25	やめたあとならいけます
061	1985/09/06	もう子どもらに、こんな目にあってほしくないけぇ
062	1995	展示することすら戦争
063	1996/12/05	あの日ドームの上で
064	2005/06	それでも私は謝らない
065	2005/06	その前に石油がなくなるだろう
066	2016/05/27	謝罪はできないけれども
067	2023/05/19	広島に来て見んさい
068	2024/10/11	遅すぎた名誉
069	1945/08	一番好きだった姉さん
070	1959–1981頃	ひょっとしたら、原爆症じゃないか
071	～2006（要検証）	そこに行けない
072	2006/10	5日の次は7日でいい
073	2006–2007	忘れちゃだめです
074	2007/04（要検証）	今度は、私が伝える番だ
075	2016/05/29	朽ち果てるまで許すことはできない
076	2026/09/05	その身朽ち果てようとも
077	1948/08/09	ノーモア・ナガサキ
078	1949/06	長崎の鐘
079	1949/07–08	焼け跡を文化都市に
080	1953/05–06	治療は無料で
081	1955/08/08	右手は原爆、左手は平和
082	1964	原爆は一日で終わらない
083	1996/04/01	五十年後の資料館
084	2019/11/24	持っているだけなら平和ですか
085	2024–	どこからが被爆者ですか
086	1944/09/08	音がする前に死ぬ
087	1944–1945	味方をより殺してどうする
088	1945–1946	敵の兵器ですが、技術者ごともらいます
089	1946–1952	真上に飛ばせば科学の進歩です
090	1957/10/04	地球の向こうまで
091	1946/07/29	帝国海軍の魂燃ゆ
092	1949/08/29	しばらく独り占めするつもりだったのに
093	1950–1951	朝鮮戦争、危機一髪
094	1951頃	こちらの核は平和のためです
095	1951/04/11	将軍、そこまでだ
096	1952/11/01	星を作ろう
097	1953	戦術核なら大丈夫……？
098	1954	海の下に原子炉を
099	1955/07/09	人間であることを思い出せ
100	1955/09/16	撃つときは浮上してください
101	1956/02/02	次の攻撃はミサイルで
102	1950年代後半	きれいな核
103	1957/07	夢見る学者じゃいられない
104	1957/08/21	大陸の向こうまで
105	1957/09/19	地下でやれば問題ない
106	1958/08/03	氷の下なら誰も見ていない
107	1959/10/31	次の攻撃はミサイルで：実戦配備
108	1960/04/13	現在地がわからないと当たりません
109	1960/07/20	浮上する必要すらありません
110	1960	潜水艦はどこにいるかわからない
111	1961/10/30	爆弾の皇帝
112	1962	いつでも、すぐに
113	1962/07/09	破壊を伴わない破壊
114	1962/10/16	喉元に突きつけられた剣
115	1962/10/27	人類史上もっとも長い土曜日
116	1962/10/27	人の言うことは最後まで聞く
117	1960年代	約束された破壊の上で
118	1950年代末～1960年代	砂漠の中の研究所
119	1963～	最初には持ち込みません
120	1960年代後半～	ボクも持ってるかもしれませんよ？
121	1967/12/11	持ちこませず……？？？
122	1968/07/01	核は俺達で独占する
123	1969	知らないことにしておきましょう
124	1971/03/31	一発で一か所とは言っていない
125	1972	盾を捨てて剣を封じる
126	1979/06/18	減らすとは言っていない
127	1979/10/20	もう敵の近くまで行かなくていい
128	1979/12/12	減らすために、まず増やします
129	1986/10/11–12	あと一言がまとまらない
130	1987/12/08	この種類は全部捨てます
131	1991/07/31	六千発まで減らしましょう
132	1991/09–10	条約はあとでいい、先に片付けよう
133	2010/03/09	聞かなかったことになっていました
134	1953/12/08	平和利用……だよ？
135	1957/12	原子の火で街を照らす
136	1968～	平和利用は権利です
137	1970年代～	燃やすために、まず分けます
138	1979/03/28	平和利用は、たまに取り返しがつかない ×1
139	1986/04/26	平和利用は、たまに取り返しがつかない ×2
140	2011/03/11	平和利用は、たまに取り返しがつかない ×3
141	1951/12/20	四つの電球から
142	1953	燃やした以上に増えました
143	1977/04/24	常陽、昇る
144	1994/04/05	夢の原子炉、臨界
145	1995/12/08	ナトリウムが漏れました
146	2010/05/06	十四年ぶりに、もう一度
147	2016/12	夢は廃炉になったのか
148	20XX	いまだ夢物語か……
149	20XX	地上に太陽を
150	1947/08	二つに分ければ終わる……？
151	1948/01/30	非暴力の使徒、暴力に斃れる
152	1971	国境はもう一度動く
153	1972	次は負けられない
154	1974/05/18	平和的核爆発です
155	1998/05/11–13	核ガンジーはゲームだけにして
156	1998/05/28–30	ならば、こちらも
157	1998	ガンジー、悲しみの螺旋
158	1999	核を持っても戦争はなくならない
159	1985/12/12	条約には入りました
160	1993/03/12–06/11	脱退します……いったん保留
161	1994/10/21	凍結します
162	2003/01/10–11	条約は抜けられます
163	2006/10/09	持ってしまいました
164	2018/06/12	完全な非核化へ……？
165	2019/02/28	そこまででした
166	2022/09/08	平和のための核です
167	1919	元素は壊せる
168	1941/10/01	錬金術の夢
169	1981/03/01	金より高い金
170	20世紀前半～	星は元素工場だった
171	20世紀前半～	星は鉄まで燃やしているらしい
172	20世紀前半～	鉄で終わりです
